actor/actor_entropy,actor/actor_loss,actor/bc_flow_loss,actor/distill_loss,actor/q_loss,alpha/alpha_loss,alpha/alpha_value,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,step
-128.00098,512.5959,0.0,0.044059344,508.18997,4.284149,0.03346966,4.5619445,-416.98682,-504.1178,-512.89105,3.9050128,-7.6970015,266.73526,5000
-128.2258,331.4732,0.0,0.051619362,326.31128,0.7664562,0.0059773945,11.252859,-214.82574,-327.40594,-354.73465,11.735863,-7.03992,367.73102,10000
-129.0057,243.55145,0.0,0.058007415,237.75072,0.13784367,0.0010685083,7.5758824,-176.26892,-240.18506,-275.04483,7.0254545,-5.8393536,332.562,15000
-128.49203,227.71408,0.0,0.053841855,222.3299,0.02455811,0.00019112554,6.300666,-158.2566,-225.3173,-251.94923,5.7080755,-6.6431093,306.41412,20000
-129.53433,217.33304,0.0,0.052712347,212.0618,0.004428071,3.4184537e-05,7.53475,-133.11911,-215.59686,-270.74716,10.989543,-9.731254,263.27414,25000
-130.06485,216.02867,0.0,0.05621814,210.40686,0.00079543935,6.1157134e-06,4.790761,-140.1269,-213.57953,-258.75064,5.982015,-5.343771,220.6041,30000
-128.6899,219.75928,0.0,0.057173956,214.04189,0.00014079428,1.0940585e-06,5.061363,-146.72849,-217.5211,-258.94638,4.278487,-4.2814927,185.80704,35000
-129.9745,216.16945,0.0,0.06253444,209.916,2.544142e-05,1.9574163e-07,7.4263153,-136.71352,-213.62204,-303.4334,3.5473049,-5.3457837,211.41365,40000
-130.64398,221.18909,0.0,0.05494946,215.69414,4.58267e-06,3.5077544e-08,16.345604,-138.38461,-219.54715,-290.9608,30.463066,-43.212315,688.9015,45000
-129.17714,222.22449,0.0,0.058312677,216.39322,8.185883e-07,6.3369443e-09,6.1972857,-96.28538,-219.71071,-272.2209,3.7777808,-3.1974943,143.42836,50000
-130.87762,224.02003,0.0,0.06255536,217.7645,1.560191e-07,1.1920991e-09,10.199086,-97.52288,-221.95633,-269.96786,4.745416,-6.6023273,270.17053,55000
-130.39032,225.21231,0.0,0.051915806,220.02074,3.464942e-08,2.6573616e-10,12.506033,-103.15661,-223.04582,-306.44772,14.676101,-12.035353,305.90955,60000
-128.61499,225.56729,0.0,0.0599495,219.57234,1.1191997e-08,8.701938e-11,9.094242,-105.79924,-222.61514,-270.08493,2.8218484,-5.4222755,207.38571,65000
-130.50456,224.8082,0.0,0.054731138,219.33508,5.5043707e-09,4.2177612e-11,7.4566255,-117.66755,-222.76636,-292.5725,2.4679801,-2.645276,175.13663,70000
-130.10724,224.17056,0.0,0.055172596,218.6533,3.3834653e-09,2.6005203e-11,8.074579,-119.149956,-222.5585,-271.60236,3.273033,-2.9078107,226.8304,75000
-129.23508,225.29778,0.0,0.05978544,219.31923,2.3692708e-09,1.8333031e-11,8.861523,-126.369896,-222.9562,-295.07227,3.486497,-2.6509314,214.72522,80000
-130.19926,216.91681,0.0,0.053501338,211.56668,1.822834e-09,1.400034e-11,7.77553,-84.62333,-215.80005,-284.16776,2.5886939,-2.437622,180.72067,85000
-128.78516,221.64316,0.0,0.05525479,216.11768,1.4504887e-09,1.1262856e-11,6.353629,-133.86203,-220.12335,-282.96454,4.35055,-4.0842066,172.50854,90000
-129.0957,224.50696,0.0,0.053248852,219.18207,1.2117386e-09,9.386359e-12,6.4830236,-86.7613,-222.5275,-300.37872,2.3694441,-3.448031,173.93408,95000
-130.41708,222.74771,0.0,0.0598615,216.76157,1.0481427e-09,8.036851e-12,10.580109,-124.14664,-220.37436,-291.76688,3.7929387,-2.6227005,216.25522,100000
-131.28134,222.7195,0.0,0.05279957,217.43954,9.205403e-10,7.011966e-12,6.2959704,-139.41563,-220.3534,-297.9019,3.371868,-3.513255,183.24893,105000
